관리코드,상품명,규격
24-27,동서맥스웰오리지날(자판기),1k*12
24-06-01,동서맥스웰스위트아메리카노캔200,200ml*30
24-86,동서맑은티엔보리410,410*20
01-18.,동서/콘푸라이트600 (36),600g*12
24-01,동서/맥스웰캔커피150업소용(168),150*30
52-25,동서/리치스피클/3kg,3*6
24-34,동서 레드불250 (128),250ml*24
17-12.,돌오렌지쥬스120ml(팩),120ml*32
17-12,돌파인쥬스100% (52),1000ml*12
17-08,돌칵테일,567g*12
27-116,델몬트포도병180/롯데칠성,180*30
27-21-01,델몬트포도1.5(6본),1.5L*6
27-29,델몬트파인쥬스 1.5,1.5L*12
17-04,델몬트파인애플(특대) (40),3050g*6
17-01,델몬트파인애플(40),836g*24
27-63,델몬트파인스퀴즈(캔),240*30
27-113,델몬트토마토병180/롯데칠성,180*48
27-22-03,델몬트토마토1.5(6본),1.5*6
27-22-02,델몬트토마토1.5,1.5*12
17-02,델몬트칵테일후르츠 (40),850g*24
17-05,델몬트칵테일(특대) (40),3.062kg*6
27-120,델몬트오렌지팩190,190*24
27-20-01,델몬트오렌지 1.5*6본,1.5L*6
27-115,델몬트오렌지병180/롯데칠성,180*30
27-112,델몬트알로에병180/롯데칠성,180*48
27-22-01,델몬트알로에1.5(6입),1.5*6
27-22,델몬트알로에1.5,1.5*12
27-77-03,델몬트스퀴즈오렌지240,240*30
27-32,델몬트스카시포도1.5원형,1.5*12
27-19,델몬트스카시오렌지1.5원형,1.5*12
27-43,델몬트석류병,180*48
27-22-04,델몬트석류1.5(6입),1.5*6
27-62,델몬트사과스퀴즈캔,240*30
27-114,델몬트매실병180/롯데칠성,180*48
27--22-04,델몬트매실1.5(6입),1.5*6
27-120-01,델몬트망고팩190,190*24
27-39,델몬트망고캔 로어슈거 240 (121),240ml*30
27-111,델몬트망고병180/롯데칠성,180*48
27-20-03,델몬트망고1.5(6본),1.5L*6
27-21,델몬트[포도] 1.5 (48),1.5L*12
27-20,델몬트오렌지 1.5 (44),1.5L*12
27-20-02,델몬트[망고] 1.5 /사각(44),1.5L*12
80-80-04,덴탈마스크 3충필터,3입*300세트
80-80,덴탈마스크 3중필터,3입*200세트
80-80-02,덴탈마스크 3중필터,1세트*3장
80-80-07,덴탈마스크 3중필터,50입
28-17,데자와250*30/동아,250ml*30
28-22-06,데미소다 청포도250,250ml*30
28-12-03,데미소다자몽250,250*30
28-12-02,데미소다오렌지250 (90),250ml*30
28-05,데미소다애플410,410*20
28-12,데미소다애플250 (90),250ml*30
28-22,데미소다복숭아250,250ml*30
28-18,데미소다레몬250,250ml*30
28-16,데미소다 오렌지 1.5,1.5*12
28-10,데미소다 애플 1.5,1.5*12
16-71,더바삭한김(25g*10매)*2세트-(BOX)/30,전장25g*10*2set
60-11,대일반품,0
36-18,대상) 미원맛소금1kg,1kg*20
36-19,대상) 미원맛소금2kg,2kg*6
14-27,대상꽁치 400*24,400g*24
36-20.,대상/청정원포도씨유기획900,(900*2)*12
36-20,대상/청정원포도씨유900ml,900*12
31-24,닥터페퍼 350 (88),(350ml*24)
04-22,다우니(피오니아)3L,3L*6
04-15,다우니(탱고)900g,900g*12
04-14,다우니(엘레강스)900,900g*12
04-21,"다우니(아로마,후로랄)2.8L",2.8L*6
04-12,다우니(아로마)900g,900g*12
04-13,다우니(루나)900g,900g*12
25-59-02,다미나 909,150*6*90
54-30,농심)튀김우동큰사발,1050*16
54-03-01,농심 너구리(얼큰한맛)5+1,(5+1)*8
54-24.,노래방새우깡400g(일반맛),400*6
54-24,노래방새우깡(매운맛)400g,400g*6
54-03,너구리(얼큰한맛)멀티/농심/(64),(5*8)
21-02,남양프렌치카푸치노컵 200 (빨강),200ml*10
21-108-110-07,남양프렌치카페커피믹스90+10 (30),(90T+10T)*8
21-108-110-10,남양프렌치카페커피믹스150+20 (40),(150T+20T)*4
21-108-110-08,남양프렌치카페커피믹스 100T,100T*8
21-20-01,남양프렌치카페카푸치노175 (빨강) (154),175ml*30
21-01,남양프렌치카페오레컵 200 (노랑)(192),200ml*10
21-20,남양프렌치카페오레마일드175 (노랑)(154),175ml*30
21-53,남양프렌치카페더블샷라떼 200,200T*30
21-108-110-05,남양프렌치카페커피믹스50+10,(50T+10T)*18
21-108-110-06,남양프렌치카페커피믹스아라비카(골드라벨)90+10 (30),(90T*10T)*8
21-108-110-04,남양프렌치카페커피믹스 50t,50T*18
21-108-110-01,남양프렌치카페 10t(증정),
21-02-02,남양프렌치카라멜마끼아또컵 200,200ml*10
21-20-02,남양프렌치카라멜마끼아또175캔 (154),175ml*30
21-03,남양프렌치벨벳비엔나모카컵 200,200ml*10
21-32.,남양프라우스파클링오렌지 390ml,390*20
21-32,남양프라우스파클링라임 390ml,390*20
21-50,남양파렛트,
21-98-03,남양킬링샷 아메리카노500,500ml*20
21-98-02,남양킬링샷 라떼500,500ml*20
21-34,남양츄파춥스 스파클링포도,345ml*24
21-35,남양츄파춥스 스파클링오렌지,345ml*24
21-33,남양츄파춥스 스파클링딸기,345ml*24
21-114,남양초코에몽캔175(132),175ml*30
21-24,남양천연수 500 (112),500ml*20
21-24-01,남양천연수 2L (88),2L*6
21-63,남양옥수수염차 1.5(48),1.5L*12
21-74,남양옥수수수염차500,500ml*20
21-73,남양옥수수수염차340 (104),340ml*20
21-90,남양에누리,
21-17,남양앳홈포도(병),180ml*48
21-58,남양앳홈포도 1.5,1.5L*12
21-26,남양앳홈토마토1.5,1.5L*12
21-94,남양앳홈오렌지340,340m*
21-16,남양앳홈오렌지(병),180ml*48
21-59,남양앳홈오렌지 1.5(48),1.5L*12
21-67,남양앳홈알로에병 180,180ml*48
21-05,남양앳홈알로에 1.5(48),1.5L*12
21-62,남양앳홈사과병,180ml*48
21-96,남양앳홈사과 1.5,1.5L*12
21-57,남양앳홈복숭아속살캔,238ml*24
21-23,남양앳홈복숭아속살병180,180*48
21-60,남양앳홈복숭아속살(pet) 1.5,1.5L*12
21-40,남양알로에캔,180*90
21-95,남양알로에생캔 180,180ml*30
21-06,남양알로에생500,500ml*20
21-28,남양알로에생 180,180ml*48
21-14-01,남양알로에생 1.5,1.5L*12
60-07,남양반품,
21-82,남양바닐라마끼아또캔 175,175ml*30
21-77,남양마일드17차 340,340ml*20
21-41,남양17차캔 240 (132),240ml*30
21-49,남양17차캔 180 (154),180ml*30
21-08,남양17차pet 500 (77),500ml*20
21-61,남양17차(병),180*48
21-07,남양17차 340 (104),340ml*20
21-09,남양17차 1.5 (48/52),1.5L*12
21-108-110-13,남양 프렌치카페커피믹스 180+20(40),(180T+20T)*4
21-108-110-09,남양 프렌치카페커피믹스 100T+10T(30),(100T+10T)*8
21-108-110-03,남양 프렌치카페커피믹스20+5,25t*24
21-108-110-02,남양 프렌치카페커피믹스 20t(52),20T*24
21-108-110-12,남양 프렌치카페커피믹스 160T+20T(40),(160T+20T)*4
21-13,남양 진콩두유190ml(162),190ml*24
28-24,나랑드사이다/동아(108),180ml*30
54-05-02,김치큰사발 소컵(86*24),86*24
50-99,기타제품[소분],
51-01,금성테이프(다C투명),48*40(다C)
51-01-01,금성테이프(다C미색),48*40(다C)
51-03,금성테이프(나B투명)거래정지,48*45(나B)
51-03.,금성테이프(나B미색),48*45(나B)
51-02,금성테이프(가A투명),48*50(가A)
51-02-01,금성테이프(가A미색),48*50(가A)
14-50,광천수500(98),500ml*20
14-50-01,광천수2.0(96),2.0*12
81-31,광동흑미차500,500ml*20
31-77-01,광동홍삼대추,100ml*100
20-12-02,광동홍삼꿀디100ml,100ml*100
20-15,광동헛개차캔 175 (154),175ml*30
20-20-02,광동헛개차500(24입),500ml*24
20-09,광동헛개차1.5L(60)(52),1.5L*12
20-08,광동헛개차 500 (72),500ml*20
20-07,광동헛개차 340 (104),340ml*20
20-11,광동파렛트,
20-13-05,광동진홍삼골드,100ml*100
60-19,광동반품,
61-77-02,광동 탐라는제주감귤(48),1.5L*12
20-12-01,광동위생천75ml,75ml*100
20-17,광동우엉차340,340ml*20
20-17-01,광동우롱차 500ml,500ml*24
20-18,광동옥수수염차캔 180 (168),180ml*30
20-02,광동옥수수수염차500ml (72),500ml*20
20-01,광동옥수수수염차 340 (120)(104),340ml*20
20-03,광동옥수수수염차 1.5 (60)(52),1.5L*12
20-09-04,광동옥수수수염500(24입),500ml*24
20-19,광동야왕(야관문)500ml,500ml*24
20-20,광동야왕(야관문)340 (120),340ml*20
20-10,광동쌍화골드 (40),100ml*100
25-271,광동생강쌍화,100ml*100
04-50,광동생강골드,4*14
20-06,광동비타500후레쉬/ 100ml(특판유통) (40),100ml*100
20-14,광동비타500파우치/250,250ml*30
20-14-02,광동비타500 240캔(30입) (132),240ml*30
20-05,광동비타500/180ml(64),180ml*40
20-04,광동비타500/100ml (40),100ml*100
20-10-01,광동복분자병170,170ml*40
20-12,광동복분자100,100ml*100
61-77,광동대추쌍화,150(10*4)
26-15..,광동아주파렛트,
21-003-02,과수원팩(청포도),190ml*24
21-003,과수원팩(사과),190ml*24
21-003-01,과수원팩(복숭아),190ml*24
31-39-02,고티카아로마블랙270ml,270*20
31-39-01,고티카스위트아메리카노270ml,270*20
31-39,고티카마스터라떼270ml,270*20
16-04,고추장 고기볶음(롯데),95g*48
25-15,계산착오분정산,180ml*30
27-06,게토레이캔 240 (121),240ml*30
27-24-02,게토레이레몬600 6입 (54),600ml*6
27-24,게토레이레몬 600 (66),600ml*20
27-06-02,게토레이뚱캔355,355ml*24
27-24-01,게토레이1.5 (36),1.5L*12
02-24,거래선정리,0
200-02,거래선DC,
32-18,갈아만든배24입/140,238ml*24
32-30-02,갈아만든배 사이다 355,355ml*24
32-30-01,갈아만든배 사이다 1.5,1.5L*12
01-94,각설탕1kg,1kg*20
26-08,가야포도농장 1.5 (48),1.5L*12
26-07,가야포도(병),180*24
26-19,가야파인애플펫1.0L*12,1.0*20
26-03,가야토마토병180 (63),180ml*48병
26-99.,가야토마토병(단종),180*24
26-12,가야토마토농장 500 (90),500ml*20
26-04,가야토마토농장 1.5 (48),1.5L*12
26-14,가야케이스,50*1
26-13,가야종합병180 (63),180ml*48병
26-21,가야제주감귤병180,180ml*24
60-04,가야웅진반품,0
26-20.,가야오렌지병180ml,180*24
26-20,가야오렌지병(24,180*12
26-01,가야알로에병180(63),180ml*48병
26-99,가야알로에병(단종?),180*24
26-11,가야알로에농장 500(90),500ml*20
26-02,가야알로에 1.5 (48),1.5L*12
26-22,가야사과병180ml/단종,180*24
26-10,가야사과농장 1.5 (48),1.5L*12
26-09-01,가야복숭아농장 1.5 (48),1.5L*12
26-09,가야복숭아(병),180*24
26-23,가야배농장병180,180ml*24
26-05,가야당근병180,180ml*48병
26-06,가야당근농장1.5 (48),1.5L*12
26-17,가야감귤1.5,1.5L*12
28-64-06,가그린제로기획(제로750ml+제로250ml),
28-64-05,가그린제로 750ml,750*12
28-64-03,가그린기획(750+250),(750ml+250ml)*12
28-64-01,가그린기획 (750ml+100ml*2)*12,(750ml*1+100ml*2)
28-64,가그린 오리지널 750ml,750*12
26-15,kPP파렛트,
21-101,GT맛두유팩(담백맛)190 (180),190ml*24
21-101-01,GT맛두유팩(달콤맛)190,190ml*24
21-100,GT맛두유고칼슘팩(검은콩.깨)190(180),190ml*24
21-101-02,"GT맛두유팩(검은콩,깨)190(64입)",190ml*64
21-103,GT두유검은콩깨병(고소한)/64,200*(10*3)
21-104,GT두유(순한맛)연두병(64),(200*10)*3
21-105,GT두유(달콤한맛)주황병 (64),(200*10)*3
11-012,(동원참치기획 살코기150*2)+(DHA150*2)*12,(살코기150g*2+DHA150g*2)*12세트
11-998,DHA100*2+마일드100*2,4*20
55-02,CJ헛개컨디션레이디100ml,100ml*50
55-03-02,CJ헛개수(특수유통용) 340(96),340ml*20
55-04,CJ헛개수 500 (72),500ml*20
55-03,CJ헛개수 340 (96),340ml*20
55-05,CJ헛개수 1.5,1.5L*12
55-01,CJ헛개 컨디션100ml(80),100ml*50
55-10,CJ헛개 컨디션 75ml,75ml*50
15-16.,CJ햇반 210g 12입(120),210g*12
15-16-01,CJ햇반 200g 12입 (104),200g*12
45-09-01,CJ풍성한S호/3세트(BOX)(20),(스팸클200g*12+카놀*2+요리올*1)*3
41-51,백설 올리브유900(60),900ml*12
15-01-05,CJ 제일N호/5세트,카놀1+해바라1+요리유1
45-07,CJ 스페셜 G호/3세트 (20),(스팸*6+카놀*2+참*2+사과식초*1+프락토올리고*1+소금*2)*3
08-47-03,CJ 백설[소불고기]양념장 500g(91),500g*12
08-47-01,CJ 백설 [소갈비]양념장 500g(91),500g*12
08-47-04,CJ 백설[돼지불고기]양념장500g(91),500g*12
08-47-02,CJ 백설 [돼지갈비]양념장 500g(91),500g*12
15-05-01,CIRIO치리오 황도슬라이스411g(160),411g*12입
56-03,AA복사용지A4500매,A4500매*5매
39-22,3분쇠고기[카레]200g (96),200g*24
39-23,3분쇠고기[짜장]200g (96),200g*24
02-35,2080칫솔(미세모)24입(재고O),12*2
02-34-01,2080치약(오리지날)140g,140g*(3*12)
02-34,2080치약(오리지날),150g*48
02-34-02,2080치약(구치케어)150g*48,150*48
02-38,2080어린이치약바나나80g,(80g*3)*18
02-39.,2080알파구치케어치약,140g*2*18=36
15-27.,200스팸클래식200*48,200g*48
61-01,0,50*18
52-27-02,★사용금지★ 동원특15호/5세트,5set(참치100*6+카놀500*2)
52-27-03,★사용금지★ [낱개]동원특15호(set),(참치100*6+카놀500*2)
80-26-02,★면세 류씨네 고추가루매운맛 김치용 (수입)2.5kg,2.5*4
80-26-04,★면세 류씨네 고추가루매운맛 중식용 (수입)2.5kg,2.5*4
80-26-06,★면세 류씨네 고추가루 중식용 (중국산)2.5kg,2.5*4
33-05,[하림]슬림닭가슴살(99) 135g,135g*36
39-78-01,[오뚜기]옛날참기름 500ml,500ml*12
24-02-01,[식스팩]제티초코175,175*(6*6)
15-07,사조 마일드참치200g(80),200g*36
08-45,[백설튀김]가루1k(70),1kg*10
08-46,[백설부침]가루1kg(70),1kg*10
08-39,백설 진한참기름500ml캔(96),500ml*12
16-05,[롯데]런천미트(大)/ (91),340g*24
46-07,[동표]황도슬라이스 (80),400g*24
11-64-01,[동원]일품당면500g(24),500g*20
12-10,[동원]알로에캔175*30 (144),175ml*30
12-16,[동원]밥알없는식혜 175(144),175ml*30
07-31-01,[낱개}엘지3호(쓰임가득N호)/세트,1set
42-75-03,[낱개]황지수 핸드 클린겔500(손세정제),500ml*1개
36-41-01,[낱개]환만식초 1.8*9입,1.8L
57-04-01,[낱개]한성런천미트 340g*24입,
55-07-03,[낱개]한뿌리홍삼120ml,10병
55-06-03,[낱개]한뿌리인삼120ml,10병
14-10-01,[낱개]펭귄황도(슬라이스) 400g*1캔,400g*1캔
14-04-01,[낱개]펭귄백도2절 400g*1캔,400g*1캔
14-01-02,[낱개]펭귄꽁치(한마리) 400g*1캔,400g*1캔
14-02-01,[낱개]펭귄고등어(신형) 400g*1캔,400g*1캔
50-441,[낱개]특19호 (set),참치150*6+카놀라유*2+런천200*3
15-60-01,[낱개]큐원하얀설탕 3K*1봉지,3k*1봉지
15-60-03,[낱개]큐원갈색설탕 3k*1봉지,3k*1봉지
15-47-03,[낱개]큐원갈색설탕 1kg*1입,1kg
01-17-04,[낱개]청정원NH-3호-set,1 세트
01-19-05,[낱개]청정원 고급유6호-set,1세트
11-62-03,[낱개]지중해 황도410g*1캔,410g*1캔
11-510-01,[낱개]정통불고기참치 150g*48입,
11-500-01,[낱개]정통불고기참치 100g*1캔,100g*1캔
39-83-01,[낱개]잔치국수소면 3kg/면사랑*4입,
10-08-01,[낱개]유동황도슬라이스 400g*1캔,400g*1캔
10-29-01,[낱개]유동번데기 280g*1캔,280g*1캔
10-07-01,[낱개]유동번데기 130g*1캔,130g*1캔
10-14-01,[낱개]유동뚝배기번데기탕(얼큰한맛) 280g*1캔,280g*1캔
10-14-03,[낱개]유동뚝배기번데기탕(구수한맛) 280g*1캔,280g*1캔
10-12,[낱개]유동꽁치 400g*1캔,400g*1캔
10-24-05,[낱개]유동꼬막골뱅이280g*1캔,280g*1캔
10-00-01,[낱개]유동골뱅이 400g*1캔,400g*1캔
10-01-01,[낱개]유동골뱅이 230g*1캔,230g*1캔
10-02-01,[낱개]유동골뱅이 140g*1캔,140g*1캔
10-13-01,[낱개]유동고등어 400g*24입,
12-12-01,[낱개]옥수수수염차캔/동원 175ml,175ml*30
39-86,[낱개]오뚜기옛날참기름 500*12입,500ml*12입
39-104,[낱개]오뚜기/특선16호-(set),1set
39-100-01,[낱개]오뚜기/옛날참기름병 320*12입,320ml
06-31,[낱개]아모레퍼시픽 종합 3호/6세트-(BOX),
25-59-04,[낱개]신형 여명808-[1set*15개],119ml*1set*15개
45-07-04,[낱개]스팸특별한선택N호(set),1set
45-12-01,[낱개]스팸특별한선택 N2호 -(set),1 set
45-27-01,[낱개]스팸복합2호 (set),스팸6+카놀라유3
45-11-01,[낱개]스팸복합1호 (set),스팸6+카놀라유2
45-21-01,[낱개]스팸8호 (set),클래식200*9
45-06-01,[낱개]스팸8E호(1set),클래식7+마일드2
45-05-01,[낱개]스팸6호(set),1set
45-10-02,[낱개]스팸3호-(set),(200*6)+(340*6)
45-08-02,[낱개]스팸1호(set),1세트
61-58-05,[낱개]쉐프솔루선 육개장 1.2kg,1.2kg*8
03-17-01,[낱개]샘표진간장S 1.8*6입,
19-05-01,[낱개]삼미번데기130g*1캔,
15-42-01,[낱개]백설하얀설탕 3kg*1봉지,3k*1봉지
15-40-01,[낱개]백설하얀설탕 1kg*1봉지,1k*1봉지
08-32-01,[낱개]백설포도씨유 900ml*1입,900ml*1입
45-12-99,[낱개]백설특별한선택골드라벨(set),1set
45-18-03,[낱개]백설스팸8k호(1set),클래식6+마일드3
08-39-01,[낱개]백설/진한참기름 500ml (캔)*1캔,500ml*1캔
28-32,[낱개]박카스 F 120ml*10입,120ml*10병
50-32-01,[낱개]리챔6호-(set),200g*9캔
50-40-01,[낱개]리챔2호-(set),리챔200g*9캔
16-15-01,[낱개]롯데로스팜복합1호-1set,
16-24…,[낱개]롯데로스팜4호-(set),1set
16-31-03,[낱개]롯데런천미트2호-(set),1 set
11-61-01,[낱개]동원황도슬라이스 400g*1캔,400g*1캔
52-27-01,[낱개]동원특15호-(set),참150*6+카500m*2+런천200g3
50-24-02,[낱개]동원캔67호-(set),1set
50-18-01,[낱개]동원캔57호(set),세트
11-30-01,[낱개]동원칵테일 836g*1캔,836g*1캔
50-01-01,[낱개]동원친호-(set),참치150g*12캔
50-03-01,[낱개]동원친100호(set),참치100*12
11-02-02,[낱개]동원참치살코기(원중)150g,150g*1캔
11-01-01,[낱개]동원참치살코기(원소)100g,100g*1캔
11-03-01,[낱개]동원참치살코기(빅) 200g*1캔,210g*1캔
16-227,[낱개]동원참치10호-(set),1set(150참치12+런천200*4)
11-21-03,[낱개]동원참치 1.88kg (덕용),1.88kg
50-07.,[낱개]동원유호-(set),1set
50-20,[낱개]동원올리브김식탁12P/(1세트),12p*1세트
11-08-01,[낱개]동원야채참치 150g*1캔,150g*1캔
11-07-01,[낱개]동원야채참치 100g*1캔,100g*1캔
11-13-01,[낱개]동원스위트콘(미국) 340g*1캔,340g*1캔
50-05-01,[낱개]동원선호-(set),참치150*18
16-71-01,[낱개]동원바삭한김(set),1세트
11-06-03,[낱개]동원매운고추150g*1캔,150g*1캔
50-21-02,[낱개]동원들기름김식탁12P/(1세트),12p*1세트
11-70-01,[낱개]동원닭가슴살 135g*1캔,135g*1캔
50-02-01,[낱개]동원단호-(set),150g*15캔
50-04-01,[낱개]동원단100호(1set),100g*15캔
11-39-01,[낱개]동원꽁치 400g*1캔,400g*1캔
11-10-01,[낱개]동원김치찌게참치(중) 150g*1캔,150g*1캔
11-11-01,[낱개]동원김치찌게참치(빅) 210g,
11-09-02,[낱개]동원김치찌개참치 (소)100g*1캔,100g*1캔
40-41-02,[낱개]동원귀호/1세트,
50-41-02,[낱개]동원귀호/1세트,
11-16-03,[낱개]동원골뱅이(中) 230g*1캔,230g*1캔
11-16-01,[낱개]동원골뱅이(小)140g*48입,140g
11-17-01,[낱개]동원골뱅이 400g*1캔,400g*1캔
11-13-03,[낱개]동원골든스위트콘 340/태국*24입,
11-05-05,[낱개]동원고추참치(빅)250g,250g*1캔
11-05-03,[낱개]동원고추참치 150g*1캔,150g*1캔
11-05-01,[낱개]동원고추참치 100g*1캔,100g*1캔
11-38-01,[낱개]동원고등어 400g*1캔,400g*1캔
11-06-01,[낱개]동원 매운고추참치 100g*1캔,100g*1캔
17-01-01,[낱개]델몬트칵테일후르츠 850*1캔,850*1캔
45-09-02,[낱개]CJ스팸풍성한S호1set,1set
15-15-05,[낱개] 햇반기획200g (8입*6) (40),(200g*8)*6
10-21-05,[낱개] 유동순살왕꼬막&골뱅이,280g
10-00-03,[낱개] 유동골뱅이300g,(300g*1)
07-31-03,[낱개] 엘지쓰임가득 두배세트,1세트
45-07-01,[낱개] CJ스팸 스페셜 G호(set),1세트
01-19-03,[낱개) 청정원고급유3호,1셋트
25-40-03,[1set]삼성까스명수 75ml*10병,75ml*100
38-09-04,[1set]동화까스활액(75ml*10병),75*120/50
